listing_id,name,zipcode,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,reviews_per_month,availability_365
6465868,Private bedroom with breakfast incl,92139,32.67524,-117.05125,Private room,350.0,1.0,0.0,,1.0,,
10588878,LUXURY MASTER SUITE W/ PRIVATE BATH,92111,32.80048,-117.18639,Private room,50.0,7.0,0.0,,1.0,,
11801217,"Cozy and peaceful, ideal for studying",92037,32.85789,-117.23258,Private room,50.0,7.0,2.0,2019-06-28,2.0,,
16268888,Bright bedroom upstairs large closet full bed,92111,32.81727,-117.17605,Private room,50.0,7.0,17.0,2019-06-29,3.0,,
25138355,Private Bedroom in Ocean Beach Home,92107,32.74891,-117.24267,Private room,50.0,7.0,2.0,2018-06-10,2.0,,
26848573,Airbnb in Golden Hill,92102,32.71347,-117.13861,Private room,350.0,1.0,1.0,2018-07-22,1.0,,
27170948,Mission valley.,92108,32.77503,-117.1537,Private room,50.0,7.0,1.0,2018-08-18,1.0,,
30554922,La Jolla / UTC / UCSD 3-Level House near Beaches!,92122,32.84815,-117.20234,Private room,350.0,1.0,0.0,,3.0,,
34063140,Point Loma Charmer,92106,32.74064,-117.22115,Private room,70.0,5.0,3.0,2019-07-31,1.0,,
32337570,North Park Modern Town home,92104,32.7544,-117.14129,Private room,85.0,4.0,5.0,2019-08-02,1.0,,
16225439,Private unfurnished room in University Heights,92103,32.75242,-117.14413,Private room,28.0,12.0,0.0,,1.0,,
23651232,"Relaxing, comfortable, clean in central location",92117,32.82801,-117.17684,Private room,56.0,6.0,6.0,2019-06-26,4.0,,
16422957,Beautiful San Diego Home!,92120,32.79167,-117.07988,Private room,65.0,5.0,4.0,2017-08-17,1.0,,
23292945,"MASTER/PRIVATE ROOM in 3BR house, Pacific Beach,SD",92109,32.8003,-117.23203,Private room,65.0,5.0,11.0,2018-10-28,1.0,,
9862390,Cottage by the beach,92107,32.75186,-117.24858,Entire home/apt,80.0,4.0,1.0,2015-12-27,1.0,,
18407151,Clean and cozy bedroom,92129,32.94748,-117.12818,Private room,45.0,7.0,8.0,2018-09-05,8.0,,
37783547,"Private room w/bath, Chula Vista",91913,32.63399,-116.98322,Private room,45.0,7.0,0.0,,2.0,,
19858342,Home Away From Home for YOU,91910,32.62551,-117.08919,Private room,104.0,3.0,1.0,2017-07-23,5.0,,
22545815,home away from home for YOU,91910,32.62701,-117.08908,Private room,104.0,3.0,4.0,2019-07-21,5.0,,
37094698,Beautiful Bedroom  Scripps Ranch near Miramar Lake,92131,32.90301,-117.10724,Private room,44.0,7.0,0.0,,0.0,,
21135787,Cute Commuter Room in San Diego,92126,32.92144,-117.13418,Private room,150.0,2.0,3.0,2017-10-19,1.0,,
26987844,My Room,91915,32.62607,-116.95517,Private room,150.0,2.0,0.0,,1.0,,
33494419,Military grade RV.  Great for the beach or desert.,92105,32.74573,-117.09202,Entire home/apt,75.0,4.0,0.0,,4.0,,
36701625,Comic-Con Private Room,92103,32.74576,-117.14679,Private room,300.0,1.0,0.0,,2.0,,
9214669,Spanish Style in Sorrento Valley,92126,32.92347,-117.16541,Private room,144.0,2.0,7.0,2019-06-30,1.0,,
24660304,U,92106,32.72676,-117.23152,Entire home/apt,95.0,3.0,0.0,,1.0,,
12387177,Safe close to everything,92129,32.96798,-117.11215,Private room,40.0,7.0,4.0,2016-11-30,2.0,,
1906699,"Nice, quiet,private Room at North La Jolla/ UTC",92122,32.87003,-117.20438,Private room,69.0,4.0,30.0,2019-08-06,1.0,,
9796457,Private master bedroom,92116,32.75757,-117.12211,Private room,69.0,4.0,35.0,2019-07-21,2.0,,
11676155,VERY NICE PRIVATE ROOM IN UTC,92122,32.86862,-117.22577,Private room,55.0,5.0,17.0,2019-06-21,3.0,,
30535390,Cozy Bedroom in Canyon View Home in Serra Mesa,92123,32.79321,-117.13012,Private room,39.0,7.0,7.0,2019-06-30,1.0,,
13186737,Home away from home,91910,32.62669,-117.08917,Private room,90.0,3.0,9.0,2018-06-24,5.0,,
20407044,San Diego’s Home Sweet Home,92129,32.94605,-117.1275,Private room,45.0,6.0,5.0,2018-12-14,8.0,,
23966104,Awesome Townhome in Downtown,92101,32.70957,-117.1558,Private room,135.0,2.0,7.0,2019-08-04,3.0,,
32257810,San Diego  Pvt Rm Miramar College,92126,32.90326,-117.11957,Private room,38.0,7.0,3.0,2019-08-03,8.0,,
33162385,Private room for executives in a unique home.,92127,33.03504,-117.07881,Private room,88.0,3.0,3.0,2019-08-12,1.0,,
29185733,Cozy Loft in Airway Lane,92106,32.74763,-117.22514,Entire home/apt,87.0,3.0,0.0,,2.0,,
12448185,Private Room-Priv. Bath North Park,92104,32.75172,-117.12944,Private room,52.0,5.0,0.0,,1.0,,
27031942,big room in a traditional craftsman house in SD,92102,32.71647,-117.14622,Private room,65.0,4.0,14.0,2019-07-21,1.0,,
28048565,"Private Room (A) near UCSD, La Jolla, Shopping +",92122,32.85314,-117.21116,Private room,130.0,2.0,7.0,2019-07-23,2.0,,
29188091,Queen Bedroom Motel like set up in remodeled home,92115,32.76901,-117.08137,Private room,129.0,2.0,1.0,2019-07-21,4.0,,
