listing_id,name,host_id,neighbourhood,zip_code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,data_year
37691928,"Small Room in a Peaceful, Quiet Home",24806571,Serra Mesa,92123,32.79832,-117.14022,Private room,23.0,30,0.0,,,,2024
32845294,Bed in 2 Bed Mixed Dorm at ITH Colive Balboa Park,247076354,Hillcrest,92103,32.74673,-117.15833,Shared room,24.0,28,0.0,,,,2024
36858222,Seaside-themed Private Bedroom is Perfect Retreat,154771532,Serra Mesa,92123,32.78834,-117.14491,Private room,48.0,14,0.0,,,,2024
11244715,Great location Private Room &Bath Near Beach UCSD!,58508816,Bay Ho,92117,32.81838,-117.2109,Private room,45.0,14,7.0,2019-08-11,,,2024
32843305,Bed in 4 Bed Mixed Dorm ITH Colive Balboa Park,247076354,Hillcrest,92103,32.74548,-117.1602,Shared room,22.0,28,0.0,,,,2024
32866653,Bed in 4 Bed Female Dorm at ITH Colive Balboa Park,247076354,Hillcrest,92103,32.74508,-117.16038,Shared room,22.0,28,0.0,,,,2024
13112495,Heart of San Diego,28187646,Hillcrest,92103,32.74523,-117.16441,Entire home/apt,300.0,2,0.0,,,,2024
18599389,Private room and Private Bathroom,129163821,Mission Valley East,92108,32.76757,-117.16002,Private room,300.0,2,0.0,,,,2024
29797194,1 Bed with private bath in 2bed/2 bath apt,5761488,Rolando,92115,32.76305,-117.06605,Private room,30.0,20,0.0,,,,2024
2812322,Gorgeous master bed with ensuite,3434582,North Park,92104,32.74587,-117.12633,Private room,140.0,4,23.0,2019-07-18,,,2024
6215705,Bright and Cozy Room in a Beautiful home,1848403,Mira Mesa,92126,32.93495,-117.13312,Private room,55.0,10,5.0,2018-08-11,,,2024
18409445,1 Bedroom in Pacific Beach,127554066,Pacific Beach,92109,32.79652,-117.24827,Entire home/apt,109.0,5,0.0,,,,2024
32866784,Bed in 8 Bed Mixed Dorm at ITH Colive Balboa Park,247076354,Hillcrest,92103,32.7471,-117.15845,Shared room,19.0,28,0.0,,,,2024
6689831,Bedroom and Private Bathroom in PB + parking,31316570,Pacific Beach,92109,32.79804,-117.22887,Private room,265.0,2,1.0,2015-07-07,,,2024
29452722,Sunset Cliffs month-to-month,3973963,Point Loma Heights,92107,32.73353,-117.2503,Private room,75.0,7,0.0,,,,2024
35882560,Resort Style living in a Private Community.,60995800,Grantville,92124,32.79315,-117.10769,Private room,260.0,2,1.0,2019-07-22,,,2024
8254391,Beautiful Private Room at the Beach,830928,La Jolla,92037,32.84436,-117.27719,Private room,85.0,6,2.0,2016-08-06,,,2024
19792814,Room By UCSD Scripts UTC La Jolla Beach Westfield,3396026,University City,92122,32.86843,-117.22355,Private room,169.0,3,12.0,2019-08-10,,,2024
26302492,Suite Amy 4,73851541,Rancho Bernardo,92127,33.00161,-117.08584,Private room,50.0,10,8.0,2019-04-09,,,2024
2088659,**South Mission Beach-front House**,10661250,Mission Beach,92109,32.76345,-117.2533,Private room,499.0,1,4.0,2018-05-25,,,2024
3053563,Quiet and clean senior apartment near UCSD,9073422,University City,92122,32.85331,-117.20542,Entire home/apt,70.0,7,2.0,2017-01-28,,,2024
21637159,Private bedroom is perfect retreat!,154771532,Serra Mesa,92123,32.78885,-117.14286,Private room,35.0,14,33.0,2019-08-03,,,2024
25950734,"Comfortable, Clean, Relaxing - Central San Diego",177057381,Clairemont Mesa East,92117,32.82701,-117.17562,Private room,70.0,7,1.0,2019-08-13,,,2024
20364862,"Upscale apartment, Heart of UTC/La Jolla,Near UCSD",108212902,University City,92122,32.86927,-117.22484,Private room,69.0,7,0.0,,,,2024
20034931,Room for rent,142303431,,91913,32.62621,-116.98846,Private room,80.0,6,0.0,,,,2024
36766726,You wanna go to comic con and need place to stay,275413222,Mission Valley East,92108,32.77052,-117.14159,Shared room,475.0,1,0.0,,,,2024
37092348,Gorgeous Master Bedroom w/Balcony Private Bath,279002104,Scripps Ranch,92131,32.9043,-117.10719,Private room,65.0,7,1.0,2019-08-14,,,2024
